run_id,family,target,paper_section,teff_16,teff_50,teff_84,logg_16,logg_50,logg_84,logL_16,logL_50,logL_84,phi_16,phi_50,phi_84,cold_teff_50,cold_logg_50,cold_logL_50,cold_phi_50
UNCOVER_1c_cool3000_smc_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool3000_smc_ujy,Section 2.3,2001.11,2004.59,2012.05,-0.96474,-0.516357,-0.135644,9.04368,9.16485,9.24946,0.014315,0.0343137,0.0967127,,,,
UNCOVER_1c_cool_cz_av3_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool_cz_av3_ujy,Section 2.3,2001.04,2004.21,2011.31,-0.785118,-0.420148,-0.0608022,9.34596,9.40142,9.44742,0.0120059,0.0273688,0.063532,,,,
UNCOVER_1c_cool_cz_neb_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool_cz_neb_ujy,Section 2.3,2000.55,2002.21,2005.99,-0.728017,-0.439729,-0.144249,9.34266,9.39739,9.44365,0.0144445,0.0284518,0.0554322,,,,
UNCOVER_1c_cool_cz_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool_cz_ujy,Section 2.3,2001.31,2005.14,2013.17,-0.750508,-0.418441,-0.0902593,9.21656,9.28761,9.34994,0.0128646,0.0273431,0.058641,,,,
UNCOVER_1c_cool_smc_av3_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool_smc_av3_ujy,Section 2.3,2037.94,2123.5,2264.69,-2.55138,-1.78179,-0.579997,5.0761,5.26807,5.63108,0.0527714,0.812242,4.889,,,,
UNCOVER_1c_cool_smc_neb_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool_smc_neb_ujy,Section 2.3,2000.55,2002.15,2005.81,-0.694569,-0.441487,-0.135038,9.2802,9.33782,9.38969,0.0141087,0.0285834,0.0511464,,,,
UNCOVER_1c_cool_smc_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool_smc_ujy,Section 2.3,2001.01,2004.1,2011.18,-0.899846,-0.504188,-0.139667,9.08763,9.18344,9.26402,0.0143759,0.0332217,0.0827015,,,,
UNCOVER_1c_cz_r300_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cz_r300_ujy,Section 2.3,4065.22,4070.78,4076.73,-3.36363,-3.2591,-3.18086,10.1536,10.1567,10.1607,268.013,320.904,407.644,,,,
UNCOVER_1c_cz_r300_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cz_r300_ujy_photcal,Section 2.3,3986.44,3994.94,4001.89,-3.37474,-3.28766,-3.20084,10.2448,10.2495,10.2532,260.016,317.075,386.848,,,,
UNCOVER_1c_smc_mhfix_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_smc_mhfix_ujy,Section 2.3,4067.74,4073.69,4080.17,-3.41628,-3.2842,-3.1874,10.1547,10.1583,10.1628,272.411,340.805,462.321,,,,
UNCOVER_1c_smc_mhfix_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_smc_mhfix_ujy_photcal,Section 2.3,3974.64,3993.83,4004.2,-3.41337,-3.27814,-3.18796,10.2395,10.2441,10.2532,249.637,310.487,422.58,,,,
UNCOVER_1c_smc_neb_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_smc_neb_ujy,Section 2.3,4062.32,4066.72,4071.32,-3.27707,-3.20876,-3.16595,10.1504,10.1533,10.156,257.644,284.267,333.402,,,,
UNCOVER_1c_smc_neb_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_smc_neb_ujy_photcal,Section 2.3,3962.88,3983.45,3997.49,-3.33069,-3.22534,-3.15998,10.2366,10.2405,10.2439,234.036,271.045,344.537,,,,
UNCOVER_1c_smc_r300_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_smc_r300_ujy,Section 2.3,4068.99,4074.48,4080.39,-3.45298,-3.3493,-3.21964,10.1551,10.1584,10.1625,294.049,396.103,503.44,,,,
UNCOVER_1c_smc_r300_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_smc_r300_ujy_photcal,Section 2.3,3979.14,3997.39,4005.59,-3.30381,-3.2043,-3.15781,10.2407,10.2462,10.2526,235.218,261.759,329.775,,,,
UNCOVER_2c_cz_r300_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_cz_r300_ujy,Section 2.3,4075.73,4081.88,4087.53,-3.40348,-3.28126,-3.18861,10.1393,10.1434,10.1475,276.007,341.119,451.186,2007.52,-0.354681,8.85653,0.0237215
UNCOVER_2c_cz_r300_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_cz_r300_ujy_photcal,Section 2.3,3966.07,3993.06,4003.76,-3.26188,-3.20485,-3.15965,10.2296,10.2347,10.2406,232.794,260.652,300.121,2016.68,-0.13115,8.82001,0.0146614
UNCOVER_2c_floor2k_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_floor2k_ujy,Section 2.3,4081.03,4091.57,4097.37,-3.44196,-3.38028,-3.303,10.149,10.1537,10.158,360.307,432.262,499.683,2007.35,-0.0228297,8.77517,0.0118154
UNCOVER_2c_floor2k_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_floor2k_ujy_photcal,Section 2.3,3990.41,4000.21,4007.4,-3.33108,-3.22647,-3.16211,10.2193,10.2261,10.2313,239.42,277.192,351.799,2027.61,-0.266132,8.95625,0.0204329
